,,"Name (click to view profile)","Profile ID",Date,Likes,"Live video timestamp",Comment,"Image URLs","Author Avatar","Comment Edited","Comment URL"
72,,"Netflix Family",100066900986005,"2024-11-22 19:00:56",0,-,"""You're my son too"". Maybe it’s the altitude on this plane, but we’re going to need a minute. 🥹 Cobra Kai Season 6 Part 2 is now streaming!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
73,,"Netflix Family",100066900986005,"2024-11-23 15:02:06",0,-,"John Lithgow as Flink in Spellbound is a match in voiceover heaven.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
74,,"Netflix Family",100066900986005,"2024-11-23 17:00:01",0,-,"one thing's for sure, teens are gonna teen.  📺 Ted Danson in A Man On The Inside, is now playing!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
75,,"Netflix Family",100066900986005,"2024-11-23 20:00:52",0,-,"The responsible one in the kingdom!SPELLBOUND is now playing.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
76,,"Netflix Family",100066900986005,"2024-11-24 14:01:14",0,-,"Only ever thinking about the bickering Oracles in Spellbound.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
77,,"Netflix Family",100066900986005,"2024-11-24 16:01:02",0,-,"President Barack Obama and marine biologist Inka Cresswell share a deep dive into what inspired them to work on Our Oceans",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
78,,"Netflix Family",100066900986005,"2024-11-24 17:00:39",0,-,"Nothing says ‘holiday spirit’ like a kitchen turf war. REBA is now playing on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
79,,"Netflix Family",100066900986005,"2024-11-24 20:00:00",0,-,"This healed something inside my parent heart. ❤️",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
80,,"Netflix Family",100066900986005,"2024-11-25 15:00:00",0,-,"no words. just an 8 week old baby seal. 😭😭😭😭😭Our Oceans is now playing on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
81,,"Netflix Family",100066900986005,"2024-11-25 16:02:42",0,-,"Rachel Zegler steps back in the booth for ""My Parents Are Monsters"" from Spellbound.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
82,,"Netflix Family",100066900986005,"2024-11-25 19:01:43",0,-,"POV: you had the best time ever kicking off the holidays with your whole family! 🎄 Let the festivities begin, only on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
83,,"Netflix Family",100066900986005,"2024-11-25 20:30:48",0,-,"A magical new episode of Popcorn Brainstorm is here! Join Amy & Dominique for a round of royal trivia inspired by Spellbound, now playing on Netflix. Get it wherever you get your podcasts.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
84,,"Netflix Family",100066900986005,"2024-11-25 22:01:00",0,-,"Flink goes with everything!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
85,,"Netflix Family",100066900986005,"2024-11-26 00:01:03",0,-,"still collecting my kid’s crayon 'masterpieces'... because the fridge wasn't big enough to house this level of genius.  🎨A Man on the Inside is now playing on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
86,,"Netflix Family",100066900986005,"2024-11-26 15:00:40",0,-,"She always know the right thing to say <3 The Tiny Chef Show is now playing on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
87,,"Netflix Family",100066900986005,"2024-11-26 17:30:42",0,-,"there’s always something you can bethankful for 🧡 📺 My Life with the Walter Boys",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
88,,"Netflix Family",100066900986005,"2024-11-26 18:31:01",0,-,"Nicole Kidman... rocks.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
89,,"Netflix Family",100066900986005,"2024-11-26 20:00:00",0,-,"i mean, come on! look at those whales smiling back at you... 🐳  with narration by Barack Obama, Our Oceans is the next awe-inspiring nature docuseries to add to your list.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
90,,"Netflix Family",100066900986005,"2024-11-27 14:00:50",0,-,"Can they host Thanksgiving dinner next year??",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
